INSTANCE,HH,MODEL,SIZE
random_4_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_4_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_4_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_50_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_50_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_50_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_50_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_50_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_50_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_51_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_51_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_51_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_51_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_51_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_51_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_52_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_52_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_52_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_52_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_52_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_52_75_50.vcp,17,GaussianNB(),VCP-Training-00NAs
random_53_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_53_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_53_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_53_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_53_75_25.vcp,13,GaussianNB(),VCP-Training-00NAs
random_53_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_54_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_54_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_54_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_54_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_54_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_54_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_55_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_55_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_55_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_55_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_55_75_25.vcp,13,GaussianNB(),VCP-Training-00NAs
random_55_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_56_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_56_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_56_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_56_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_56_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_56_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_57_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_57_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_57_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_57_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_57_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_57_75_50.vcp,20,GaussianNB(),VCP-Training-00NAs
random_58_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_58_25_50.vcp,7,GaussianNB(),VCP-Training-00NAs
random_58_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_58_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_58_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_58_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_59_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_59_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_59_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_59_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_59_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_59_75_50.vcp,17,GaussianNB(),VCP-Training-00NAs
random_5_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_5_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_5_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_5_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_5_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_5_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_60_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_60_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_60_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_60_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_60_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_60_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_61_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_61_25_50.vcp,7,GaussianNB(),VCP-Training-00NAs
random_61_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_61_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_61_75_25.vcp,13,GaussianNB(),VCP-Training-00NAs
random_61_75_50.vcp,17,GaussianNB(),VCP-Training-00NAs
random_62_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_62_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_62_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_62_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_62_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_62_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_63_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_63_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_63_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_63_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_63_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_63_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_64_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_64_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_64_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_64_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_64_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_64_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_65_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_65_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_65_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_65_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_65_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_65_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_66_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_66_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_66_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_66_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_66_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_66_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_67_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_67_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_67_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_67_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_67_75_25.vcp,13,GaussianNB(),VCP-Training-00NAs
random_67_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_68_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_68_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_68_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_68_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_68_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_68_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_69_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_69_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_69_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_69_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_69_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_69_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_6_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_6_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_6_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_6_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_6_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_6_75_50.vcp,20,GaussianNB(),VCP-Training-00NAs
random_70_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_70_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_70_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_70_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_70_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_70_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_71_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
